epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.219,3.54909,3.89105,1.97985,0,0,0,0,0,0,0,0.000237457,0.000237457,0.000237457
2,948.319,3.31867,3.03212,1.78799,0,0,0,0,0,0,0,0.000454061,0.000454061,0.000454061
3,1418.58,3.25149,2.96512,1.74835,0,0,0,0,0,0,0,0.000649246,0.000649246,0.000649246
4,1910.69,3.15045,2.86996,1.70358,0,0,0,0,0,0,0,0.00061761,0.00061761,0.00061761
5,2407.22,3.05411,2.74527,1.65517,0,0,0,0,0,0,0,0.00058548,0.00058548,0.00058548
6,2893.07,2.98625,2.6473,1.61635,0,0,0,0,0,0,0,0.00055335,0.00055335,0.00055335
7,3361.07,2.91752,2.58107,1.58067,0,0,0,0,0,0,0,0.00052122,0.00052122,0.00052122
8,3804.79,2.86484,2.50509,1.55009,0,0,0,0,0,0,0,0.00048909,0.00048909,0.00048909
9,4245.49,2.81494,2.45244,1.53409,0,0,0,0,0,0,0,0.00045696,0.00045696,0.00045696
10,4683.9,2.77678,2.4145,1.51049,0,0,0,0,0,0,0,0.00042483,0.00042483,0.00042483
11,5114.4,2.73457,2.3466,1.4885,0,0,0,0,0,0,0,0.0003927,0.0003927,0.0003927
12,5535.15,2.68156,2.27514,1.46184,0,0,0,0,0,0,0,0.00036057,0.00036057,0.00036057
13,5996.72,2.77414,2.37407,1.50392,0,0,0,0,0,0,0,0.00032844,0.00032844,0.00032844
14,6422.07,2.71581,2.28602,1.46734,0,0,0,0,0,0,0,0.00029631,0.00029631,0.00029631
15,6839.39,2.66136,2.22649,1.4371,0,0,0,0,0,0,0,0.00026418,0.00026418,0.00026418
16,7232.9,2.63283,2.19908,1.42545,0,0,0,0,0,0,0,0.00023205,0.00023205,0.00023205
17,7625.45,2.58439,2.1472,1.40052,0,0,0,0,0,0,0,0.00019992,0.00019992,0.00019992
18,8011.02,2.55615,2.11198,1.38363,0,0,0,0,0,0,0,0.00016779,0.00016779,0.00016779
19,8394.49,2.51207,2.06938,1.36947,0,0,0,0,0,0,0,0.00013566,0.00013566,0.00013566
20,8780.92,2.47487,2.03227,1.35295,0,0,0,0,0,0,0,0.00010353,0.00010353,0.00010353
21,9163.76,2.45013,2.01279,1.33915,0,0,0,0,0,0,0,7.14e-05,7.14e-05,7.14e-05
22,9545.95,2.42374,1.97024,1.32617,3.927e-05,3.927e-05,3.927e-05
23,456.72,2.61025,2.18388,1.43909,0,0,0,0,0,0,0,0.000402982,0.000402982,0.000402982
24,940.555,2.56417,2.13963,1.41124,0,0,0,0,0,0,0,0.000388844,0.000388844,0.000388844
25,1420.9,2.55674,2.12847,1.40793,0,0,0,0,0,0,0,0.000374707,0.000374707,0.000374707
26,1883.78,2.53602,2.11176,1.39696,0,0,0,0,0,0,0,0.00036057,0.00036057,0.00036057
27,2331.51,2.4912,2.05963,1.38254,0,0,0,0,0,0,0,0.000346433,0.000346433,0.000346433
28,2797.68,2.47713,2.03075,1.37257,0,0,0,0,0,0,0,0.000332296,0.000332296,0.000332296
29,3242.33,2.44416,2.01342,1.36136,0,0,0,0,0,0,0,0.000318158,0.000318158,0.000318158
30,3673.21,2.43986,1.99337,1.35441,0,0,0,0,0,0,0,0.000304021,0.000304021,0.000304021
31,4108.56,2.41702,1.97047,1.34401,0,0,0,0,0,0,0,0.000289884,0.000289884,0.000289884
32,4541.01,2.40969,1.97618,1.34542,0,0,0,0,0,0,0,0.000275747,0.000275747,0.000275747
33,4962.4,2.39221,1.93609,1.33345,0,0,0,0,0,0,0,0.00026161,0.00026161,0.00026161
34,5387.42,2.36295,1.90685,1.3207,0,0,0,0,0,0,0,0.000247472,0.000247472,0.000247472
35,5798.16,2.36699,1.91335,1.32245,0,0,0,0,0,0,0,0.000233335,0.000233335,0.000233335
36,6198.89,2.36808,1.90906,1.322,0,0,0,0,0,0,0,0.000219198,0.000219198,0.000219198
37,6609.74,2.34349,1.88768,1.31096,0,0,0,0,0,0,0,0.000205061,0.000205061,0.000205061
38,7020.26,2.33708,1.8709,1.30368,0,0,0,0,0,0,0,0.000190924,0.000190924,0.000190924
39,7434.7,2.30655,1.83265,1.29912,0,0,0,0,0,0,0,0.000176786,0.000176786,0.000176786
40,7843.3,2.3035,1.82312,1.29255,0,0,0,0,0,0,0,0.000162649,0.000162649,0.000162649
41,8272.14,2.3886,1.91421,1.31009,0,0,0,0,0,0,0,0.000148512,0.000148512,0.000148512
42,8685.32,2.34413,1.86758,1.29367,0,0,0,0,0,0,0,0.000134375,0.000134375,0.000134375
43,9091.2,2.3247,1.84882,1.28607,0,0,0,0,0,0,0,0.000120238,0.000120238,0.000120238
44,9479.53,2.31062,1.83328,1.27675,0,0,0,0,0,0,0,0.0001061,0.0001061,0.0001061
45,9861.76,2.29594,1.8139,1.27361,0,0,0,0,0,0,0,9.19632e-05,9.19632e-05,9.19632e-05
46,10254.5,2.28239,1.79666,1.26706,0,0,0,0,0,0,0,7.7826e-05,7.7826e-05,7.7826e-05
47,10642.3,2.26396,1.78463,1.25965,0,0,0,0,0,0,0,6.36888e-05,6.36888e-05,6.36888e-05
48,11026.5,2.26353,1.7771,1.2592,0,0,0,0,0,0,0,4.95516e-05,4.95516e-05,4.95516e-05
49,11396.5,2.23657,1.74731,1.24784,0,0,0,0,0,0,0,3.54144e-05,3.54144e-05,3.54144e-05
50,11771.3,2.2298,1.74155,1.24513,2.12772e-05,2.12772e-05,2.12772e-05
51,402.484,2.22876,1.73985,1.24664,7.14e-06,7.14e-06,7.14e-06
