epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,514.253,3.55568,3.89977,1.98185,0,0,0,0,0,0,0,0.000237457,0.000237457,0.000237457
2,1115,3.32315,3.04169,1.7912,0,0,0,0,0,0,0,0.000466043,0.000466043,0.000466043
3,1721.41,3.26114,2.97688,1.7526,0,0,0,0,0,0,0,0.000685204,0.000685204,0.000685204
4,2436,3.16544,2.88942,1.71719,0,0,0,0,0,0,0,0.000671588,0.000671588,0.000671588
5,3270.57,3.0895,2.77825,1.67103,0,0,0,0,0,0,0,0.000657451,0.000657451,0.000657451
6,4049.9,3.01793,2.68816,1.63234,0,0,0,0,0,0,0,0.000643314,0.000643314,0.000643314
7,5089.46,2.95281,2.62613,1.61039,0,0,0,0,0,0,0,0.000629177,0.000629177,0.000629177
8,6097.59,2.90834,2.56013,1.58151,0,0,0,0,0,0,0,0.00061504,0.00061504,0.00061504
9,7137.85,2.85463,2.50445,1.55691,0,0,0,0,0,0,0,0.000600902,0.000600902,0.000600902
10,8203.56,2.8185,2.47256,1.54451,0,0,0,0,0,0,0,0.000586765,0.000586765,0.000586765
11,9356.33,2.7875,2.41488,1.51995,0,0,0,0,0,0,0,0.000572628,0.000572628,0.000572628
12,10424.4,2.73366,2.35537,1.49923,0,0,0,0,0,0,0,0.000558491,0.000558491,0.000558491
13,11606.5,2.7082,2.32867,1.48623,0,0,0,0,0,0,0,0.000544354,0.000544354,0.000544354
14,12669.7,2.69317,2.30575,1.4776,0,0,0,0,0,0,0,0.000530216,0.000530216,0.000530216
15,13882.9,2.6581,2.26992,1.46301,0,0,0,0,0,0,0,0.000516079,0.000516079,0.000516079
16,15160.6,2.64047,2.24143,1.44718,0,0,0,0,0,0,0,0.000501942,0.000501942,0.000501942
17,16396.5,2.60476,2.18954,1.44078,0,0,0,0,0,0,0,0.000487805,0.000487805,0.000487805
18,17753,2.58187,2.16729,1.42801,0,0,0,0,0,0,0,0.000473668,0.000473668,0.000473668
19,19055,2.58179,2.1712,1.42812,0,0,0,0,0,0,0,0.00045953,0.00045953,0.00045953
20,20758.2,2.54874,2.14008,1.40966,0,0,0,0,0,0,0,0.000445393,0.000445393,0.000445393
21,22312.2,2.52218,2.11084,1.40272,0,0,0,0,0,0,0,0.000431256,0.000431256,0.000431256
22,24497.1,2.50607,2.0821,1.39358,0,0,0,0,0,0,0,0.000417119,0.000417119,0.000417119
23,27415.4,2.48546,2.05687,1.38202,0,0,0,0,0,0,0,0.000402982,0.000402982,0.000402982
24,29260,2.47813,2.04995,1.38273,0,0,0,0,0,0,0,0.000388844,0.000388844,0.000388844
25,32147.2,2.45029,2.01996,1.37006,0,0,0,0,0,0,0,0.000374707,0.000374707,0.000374707
